participant,modality,response,response_c,rt,n_exposure,afc_loops,prime,target,pair,trial,loop,final_loop
1001,image,correct,1,1179.984721,6,2,palec,tobyla,palec-tobyla,1,1,not-last
1001,image,correct,1,1183.343451,6,2,dynia,abuset,dynia-abuset,2,1,not-last
1001,image,correct,1,1186.961693,6,2,lalka,abedo,lalka-abedo,3,1,not-last
1001,image,correct,1,1190.443456,6,2,papuga,wema,papuga-wema,4,1,not-last
1001,ortho,correct,1,1193.538076,6,2,mewa,tanek,mewa-tanek,5,1,not-last
1001,ortho,correct,1,1197.495202,6,2,krawat,lazin,krawat-lazin,6,1,not-last
1001,ortho,correct,1,1200.711669,6,2,ziemniak,pekom,ziemniak-pekom,7,1,not-last
1001,image,correct,1,1204.016772,6,2,dzwonek,josta,dzwonek-josta,8,1,not-last
1001,image,correct,1,1206.971732,6,2,wyspa,owiza,wyspa-owiza,9,1,not-last
1001,ortho,correct,1,1210.304419,6,2,oko,sodem,oko-sodem,10,1,not-last
1001,image,correct,1,1213.652461,6,2,torba,lakob,torba-lakob,11,1,not-last
1001,ortho,correct,1,1219.105,6,2,samolot,pakosta,samolot-pakosta,12,1,not-last
1001,image,correct,1,1222.411113,6,2,krowa,nuketo,krowa-nuketo,13,1,not-last
1001,image,correct,1,1225.610318,6,2,foka,nedonim,foka-nedonim,14,1,not-last
1001,image,correct,1,1229.527311,6,2,kaczka,obir,kaczka-obir,15,1,not-last
1001,image,correct,1,1232.359989,6,2,kolano,ostana,kolano-ostana,16,1,not-last
1001,image,correct,1,1235.462493,6,2,lustro,waben,lustro-waben,17,1,not-last
1001,image,correct,1,1238.78141,6,2,winda,debota,winda-debota,18,1,not-last
1001,image,correct,1,1241.86215,6,2,jajko,nalet,jajko-nalet,19,1,not-last
1001,ortho,correct,1,1245.190675,6,2,cytryna,beler,cytryna-beler,20,1,not-last
1001,image,correct,1,1248.785375,6,2,ryba,alo,ryba-alo,21,1,not-last
1001,image,correct,1,1251.661831,6,2,lotnisko,badipret,lotnisko-badipret,22,1,not-last
1001,image,correct,1,1254.678532,6,2,parasol,ota,parasol-ota,23,1,not-last
1001,image,correct,1,1257.730569,6,2,fartuch,izodo,fartuch-izodo,24,1,not-last
1001,image,correct,1,1260.623955,6,2,kapelusz,stotewal,kapelusz-stotewal,25,1,not-last
1001,image,correct,1,1263.702373,6,2,ucho,honisa,ucho-honisa,26,1,not-last
1001,ortho,correct,1,1266.973458,6,2,stopa,uwa,stopa-uwa,27,1,not-last
1001,ortho,correct,1,1269.878226,6,2,butelka,chepra,butelka-chepra,28,1,not-last
1001,ortho,correct,1,1274.64104,6,2,kotwica,ezaja,kotwica-ezaja,29,1,not-last
1001,ortho,correct,1,1277.706055,6,2,zegarek,fena,zegarek-fena,30,1,not-last
1001,ortho,correct,1,1280.983798,6,2,silnik,prelata,silnik-prelata,31,1,not-last
1001,ortho,correct,1,1284.096746,6,2,skarpetka,seranak,skarpetka-seranak,32,1,not-last
1001,ortho,correct,1,1287.248137,6,2,papryka,lalum,papryka-lalum,33,1,not-last
1001,ortho,correct,1,1290.297937,6,2,osa,sawiko,osa-sawiko,34,1,not-last
1001,ortho,correct,1,1295.997302,6,2,cebula,staca,cebula-staca,35,1,not-last
1001,ortho,correct,1,1301.465023,6,2,homar,deba,homar-deba,36,1,not-last
1001,ortho,correct,1,1305.03057,6,2,owca,techar,owca-techar,37,1,not-last
1001,ortho,correct,1,1309.848439,6,2,gazeta,rocepra,gazeta-rocepra,38,1,not-last
1001,ortho,correct,1,1313.230077,6,2,koza,rojon,koza-rojon,39,1,not-last
1001,ortho,correct,1,1316.46827,6,2,indyk,nanoch,indyk-nanoch,40,1,not-last
1001,image,correct,1,1319.456313,6,2,palec,tobyla,palec-tobyla,41,2,last
1001,image,correct,1,1322.498554,6,2,dynia,abuset,dynia-abuset,42,2,last
1001,ortho,correct,1,1325.908366,6,2,mewa,tanek,mewa-tanek,43,2,last
1001,image,correct,1,1329.005016,6,2,lalka,abedo,lalka-abedo,44,2,last
1001,ortho,correct,1,1332.177802,6,2,krawat,lazin,krawat-lazin,45,2,last
1001,ortho,correct,1,1335.334696,6,2,ziemniak,pekom,ziemniak-pekom,46,2,last
1001,ortho,correct,1,1338.102415,6,2,oko,sodem,oko-sodem,47,2,last
1001,image,correct,1,1341.126021,6,2,papuga,wema,papuga-wema,48,2,last
1001,image,correct,1,1343.816186,6,2,dzwonek,josta,dzwonek-josta,49,2,last
1001,image,correct,1,1346.617398,6,2,wyspa,owiza,wyspa-owiza,50,2,last
1001,image,correct,1,1349.650424,6,2,torba,lakob,torba-lakob,51,2,last
1001,image,correct,1,1352.564307,6,2,krowa,nuketo,krowa-nuketo,52,2,last
1001,image,correct,1,1355.249642,6,2,foka,nedonim,foka-nedonim,53,2,last
1001,image,correct,1,1358.148445,6,2,kaczka,obir,kaczka-obir,54,2,last
1001,ortho,correct,1,1360.894544,6,2,samolot,pakosta,samolot-pakosta,55,2,last
1001,image,correct,1,1363.856499,6,2,kolano,ostana,kolano-ostana,56,2,last
1001,image,correct,1,1366.716511,6,2,lustro,waben,lustro-waben,57,2,last
1001,image,correct,1,1369.45334,6,2,winda,debota,winda-debota,58,2,last
1001,ortho,correct,1,1372.647026,6,2,cytryna,beler,cytryna-beler,59,2,last
1001,image,correct,1,1375.665229,6,2,jajko,nalet,jajko-nalet,60,2,last
1001,image,correct,1,1378.800535,6,2,ryba,alo,ryba-alo,61,2,last
1001,image,correct,1,1381.469868,6,2,lotnisko,badipret,lotnisko-badipret,62,2,last
1001,image,correct,1,1384.23787,6,2,parasol,ota,parasol-ota,63,2,last
1001,image,correct,1,1387.118972,6,2,fartuch,izodo,fartuch-izodo,64,2,last
1001,image,correct,1,1390.382562,6,2,kapelusz,stotewal,kapelusz-stotewal,65,2,last
1001,ortho,correct,1,1393.27736,6,2,stopa,uwa,stopa-uwa,66,2,last
1001,ortho,correct,1,1396.616937,6,2,butelka,chepra,butelka-chepra,67,2,last
1001,ortho,correct,1,1400.04612,6,2,kotwica,ezaja,kotwica-ezaja,68,2,last
1001,image,correct,1,1403.262158,6,2,ucho,honisa,ucho-honisa,69,2,last
1001,ortho,correct,1,1406.187996,6,2,zegarek,fena,zegarek-fena,70,2,last
1001,ortho,correct,1,1409.002404,6,2,silnik,prelata,silnik-prelata,71,2,last
1001,ortho,correct,1,1411.933586,6,2,skarpetka,seranak,skarpetka-seranak,72,2,last
1001,ortho,correct,1,1415.066911,6,2,papryka,lalum,papryka-lalum,73,2,last
1001,ortho,correct,1,1417.951579,6,2,osa,sawiko,osa-sawiko,74,2,last
1001,ortho,correct,1,1421.486108,6,2,cebula,staca,cebula-staca,75,2,last
1001,ortho,correct,1,1424.489083,6,2,homar,deba,homar-deba,76,2,last
1001,ortho,correct,1,1427.395233,6,2,owca,techar,owca-techar,77,2,last
1001,ortho,correct,1,1430.585024,6,2,gazeta,rocepra,gazeta-rocepra,78,2,last
1001,ortho,correct,1,1433.661265,6,2,koza,rojon,koza-rojon,79,2,last
1001,ortho,correct,1,1437.052538,6,2,indyk,nanoch,indyk-nanoch,80,2,last
1002,ortho,correct,1,1407.485851,7,3,papryka,deba,papryka-deba,1,1,not-last
1002,ortho,correct,1,1411.788849,7,3,ziemniak,fena,ziemniak-fena,2,1,not-last
1002,ortho,correct,1,1416.946872,7,3,osa,tanek,osa-tanek,3,1,not-last
1002,ortho,correct,1,1420.361814,7,3,owca,sodem,owca-sodem,4,1,not-last
1002,image,correct,1,1424.679409,7,3,ryba,honisa,ryba-honisa,5,1,not-last
1002,image,incorrect,0,1428.037919,7,3,palec,ota,palec-ota,6,1,not-last
1002,image,correct,1,1440.14895,7,3,foka,obir,foka-obir,7,1,not-last
1002,ortho,correct,1,1443.716154,7,3,winda,abuset,winda-abuset,8,1,not-last
1002,image,correct,1,1450.940611,7,3,krawat,ezaja,krawat-ezaja,9,1,not-last
1002,ortho,correct,1,1453.810629,7,3,kotwica,nanoch,kotwica-nanoch,10,1,not-last
1002,ortho,correct,1,1458.704065,7,3,zegarek,staca,zegarek-staca,11,1,not-last
1002,image,correct,1,1461.595795,7,3,cytryna,chepra,cytryna-chepra,12,1,not-last
1002,ortho,correct,1,1465.137455,7,3,fartuch,josta,fartuch-josta,13,1,not-last
1002,ortho,correct,1,1470.463124,7,3,jajko,stotewal,jajko-stotewal,14,1,not-last
1002,image,correct,1,1475.88556,7,3,dynia,nuketo,dynia-nuketo,15,1,not-last
1002,ortho,correct,1,1479.283992,7,3,lotnisko,nedonim,lotnisko-nedonim,16,1,not-last
1002,image,incorrect,0,1483.213379,7,3,butelka,seranak,butelka-seranak,17,1,not-last
1002,ortho,correct,1,1489.85066,7,3,samolot,sawiko,samolot-sawiko,18,1,not-last
1002,ortho,correct,1,1493.202869,7,3,stopa,prelata,stopa-prelata,19,1,not-last
1002,image,correct,1,1500.788578,7,3,skarpetka,pakosta,skarpetka-pakosta,20,1,not-last
1002,image,correct,1,1504.364918,7,3,parasol,lakob,parasol-lakob,21,1,not-last
1002,ortho,correct,1,1507.397265,7,3,kolano,abedo,kolano-abedo,22,1,not-last
1002,image,correct,1,1510.752536,7,3,wyspa,alo,wyspa-alo,23,1,not-last
1002,image,correct,1,1515.141718,7,3,torba,debota,torba-debota,24,1,not-last
1002,image,correct,1,1517.671722,7,3,indyk,pekom,indyk-pekom,25,1,not-last
1002,ortho,correct,1,1522.699905,7,3,koza,lalum,koza-lalum,26,1,not-last
1002,ortho,correct,1,1526.287205,7,3,homar,rocepra,homar-rocepra,27,1,not-last
1002,image,correct,1,1529.528824,7,3,mewa,rojon,mewa-rojon,28,1,not-last
1002,ortho,correct,1,1532.828116,7,3,papuga,badipret,papuga-badipret,29,1,not-last
1002,ortho,correct,1,1540.069065,7,3,lalka,waben,lalka-waben,30,1,not-last
1002,image,correct,1,1544.368012,7,3,ucho,wema,ucho-wema,31,1,not-last
1002,image,correct,1,1547.389373,7,3,krowa,nalet,krowa-nalet,32,1,not-last
1002,ortho,correct,1,1550.242943,7,3,oko,lazin,oko-lazin,33,1,not-last
1002,image,correct,1,1554.028265,7,3,cebula,uwa,cebula-uwa,34,1,not-last
1002,ortho,correct,1,1561.093409,7,3,silnik,techar,silnik-techar,35,1,not-last
1002,ortho,correct,1,1564.432569,7,3,gazeta,beler,gazeta-beler,36,1,not-last
1002,image,correct,1,1567.637228,7,3,lustro,owiza,lustro-owiza,37,1,not-last
1002,image,correct,1,1575.546073,7,3,kapelusz,izodo,kapelusz-izodo,38,1,not-last
1002,image,correct,1,1580.168393,7,3,kaczka,ostana,kaczka-ostana,39,1,not-last
