L1 (Polish),EN (L1 translation),LX,L1_syllable,LX_syllable,L1_length,LX_length,L1_frequency,L1_valence,L1_arousal,L1_concreteness,multipic_number,,mSyll_L1,mSyll_LX,mLen_L1,mLen_LX,mFreq_L1,mValence_L1,mArousal_L1,mConcrete_L1
Butelka,Bottle,Prelata,3,3,7,7,3.831900881,5.56,2.9,2.12,343,,2.35,2.45,5.725,5.4,3.647079285,5.383870968,3.281935484,1.830967742
Cebula,Onion,Seranak,3,3,6,7,3.140266377,5.02,3.52,1.64,26,,,,,,,,,
Cytryna,Lemon,Uwa,3,2,7,3,2.922675451,5.68,3.68,1.62,129,,,,,,,,,
Zegarek,Watch,Chepra,3,2,7,6,4.343985041,-,-,-,452,,,,,,,,,
Dynia,Pumpkin,Nalet,2,2,5,5,2.966309248,-,-,-,551,,,,,,,,,
Dzwonek,Bell,Ota,2,2,7,3,3.890436443,-,-,-,565,,,,,,,,,
Fartuch,Apron,Tobyla,2,3,7,6,3.373099814,5.04,3.48,1.72,476,,,,,,,,,
Foka,Seal,Ostana,2,3,4,6,2.741255358,-,-,-,92,,,,,,,,,
Gazeta,Newspaper,Staca,3,2,6,5,3.762189265,5.76,3,1.7,61,,,,,,,,,
Ziemniak,Potato,Beler,2,2,8,5,3.102283284,-,-,-,249,,,,,,,,,
Homar,Lobster,Fena,2,2,5,4,3.125026411,5.24,3.46,1.78,378,,,,,,,,,
Indyk,Turkey (bird),Rocepra,2,3,5,7,3.458082791,5.36,3.18,1.82,19,,,,,,,,,
Jajko,Egg,Izodo,2,3,5,5,3.834936401,5.82,3.28,1.82,423,,,,,,,,,
Kaczka,Duck,Abedo,2,3,6,5,3.676625762,5.32,3.16,2.08,400,,,,,,,,,
Kapelusz,Hat,Josta,3,2,8,5,4.571550898,5.5,2.82,1.64,690,,,,,,,,,
Kolano,Knee,Waben,3,2,6,5,3.826647254,4.9,3.16,1.78,222,,,,,,,,,
Papryka,pepper (bell),Pekom,3,2,7,5,2.897228329,-,-,-,348,,,,,,,,,
Kotwica,Anchor,Deba,3,2,7,4,2.870196837,5.46,3.22,1.66,405,,,,,,,,,
Koza,Goat,Nanoch,2,2,4,6,3.318491766,5.4,3.46,1.9,354,,,,,,,,,
Krawat,Tie (suit),Lalum,2,2,6,5,3.997123195,5.62,3.26,1.78,161,,,,,,,,,
Krowa,Cow,Stotewal,2,3,5,8,3.883150096,5.08,2.94,1.76,319,,,,,,,,,
lalka,Doll,Owiza,2,3,5,5,3.704926612,5.78,3.32,1.74,128,,,,,,,,,
Lotnisko,Airport,Obir,3,2,8,4,4.267339244,-,-,-,617,,,,,,,,,
Lustro,Mirror,Alo,2,2,6,3,4.040942866,5.52,3.08,1.86,340,,,,,,,,,
Mewa,Seagull,Ezaja,2,3,4,5,2.837091713,5.78,3.34,1.7,220,,,,,,,,,
Oko,Eye,Rojon,2,2,3,5,4.707136175,5.36,3.1,1.84,241,,,,,,,,,
Osa,Wasp,Lazin,2,2,3,5,3.003032055,3.9,4.64,1.9,62,,,,,,,,,
Owca,Sheep,Tanek,2,2,4,5,3.39147891,5.76,2.96,1.72,636,,,,,,,,,
Palec,Finger,Lakob,2,2,5,5,4.315929549,5.08,2.76,1.94,289,,,,,,,,,
Papuga,Parrot,Nedonim,3,3,6,7,3.241010305,-,-,-,172,,,,,,,,,
Parasol,Umbrella,Debota,3,3,7,6,3.45601963,5.42,2.8,1.88,653,,,,,,,,,
Ryba,Fish,Wema,2,2,4,4,4.15602244,5.64,3.08,1.84,324,,,,,,,,,
Samolot,Airplane,Sodem,3,2,7,5,4.688834293,6.22,4.4,2.16,297,,,,,,,,,
Silnik,Engine,Sawiko,2,3,6,6,4.276033327,5.46,4.06,2.1,186,,,,,,,,,
Skarpetka,Sock,Techar,3,2,9,6,2.588645195,5.2,3.06,1.9,416,,,,,,,,,
Stopa,Foot,Pakosta,2,3,5,7,3.878875127,5,2.98,1.92,455,,,,,,,,,
Torba,Bag,Abuset,2,3,5,6,3.965670109,5.44,3.12,1.74,53,,,,,,,,,
Ucho,Ear,Badipret,2,3,4,8,4.020854713,5.24,3.32,1.94,35,,,,,,,,,
Winda,Elevator,Nuketo,2,3,5,6,3.760140703,5.34,3.2,1.76,104,,,,,,,,,
Wyspa,Island,Honisa,2,3,5,6,4.049727547,-,-,-,260,,,,,,,,,
